Restaurant,Address,Opening Hours,Holiday,Name,Price
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Ghee Roast, 8.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Paper Roast Dosa, 9.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Mysore Sada Dosa, 9.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Podi Masala Dosa, 9.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Gun Powder masala dosa, 9.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Onion Chilli Sada Dosa, 9.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Onion Chilli Masala Dosa, 9.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Mysore Masala Dosa, 9.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Ghee Masala Roast, 8.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Set Dosa, 8.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Chef Special Sampler Dosa 5 Kinds, 21.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Mushroom Masala Dosa, 10.75
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Jaipur Dosa, 11.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Paneer Masala Dosa, 11.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Paneer Bhurji Dosa, 12.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Spinach Masala Dosa, 11.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Cheese Onion Chili Masala Dosa, 11.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Cheese Masala Dosa or sada, 10.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Spring Masala Dosa, 11.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Pondicherry Masala Dosa, 11.95
Village,"11 W Marie St, Hicksville, NY 11801","Monday to Friday: 11:00 AM - 03:00 PM & 5.00PM to 10:00PM,Saturday & Sunday: 11:30AM to 10:00PM",Tuesday,Paneer Pondicherry Dosa, 11.95
